TIPO;REGISTRO_SANITARIO;NOMBRE_COMERCIAL;"NOMBRE_GENERICO	";FORMA_FARMACEUTICA;CONCENTRACION;LABORATORIO;BAJO_LICENCIA;PARA_TERCEROS;PAIS_ORIGEN;EMPRESA_PROVEEDORA
NN;31331;ECHINACEA COMPLEX;ECHINACEA PURPUREA, ACIDO ASCORBICO (VIT.C );COMPRIMIDO RECUBIERTO;500mg,125mg;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;31422;NISTATINA 100.000UI;NISTATINA;CREMA DERMICA;100.000UI/G;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;31476;OUT-PAIN;LIDOCAINA CLORHIDRATO-SALICILATO DE METILO;UNGUENTO;2% - 1.08%;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;31669;LAGRIMAS ARTIFICIALES;HIDROXIPROPILMETILCELULOSA;SOLUCIÓN OFTÁLMICA;3MG/ML;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
II;32058;VARNGEL;DICLOFENACO SÓDICO;GEL;1%;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
NN;32183;IBUFEN FUERTE;IBUPROFENO;SUSPENSIÓN;200MG/5ML;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;32192;IBUFEN;IBUPROFENO;SUSPENSIÓN;100MG/5ML;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
II;32199;REGENTAL®;MULTIVITAMINICO CON GINSENG Y OLIGOELEMENTOS;CÁPSULAS BLANDAS;VARIOS;CATALENT ARGENTINA S.A.I.C.;/;FARMACEUTICA PARAGUAYA S.A.// ACONDICIONADO POR FARMACEUTICA PARAGUAYA S.A.;ARGENTINA;TECNOFARMA S.A.
NN;32215;OXIGENO MEDICINAL;OXÍGENO;GAS;99% V/V;NITROX S.R.L.;/;/;BOLIVIA;NITROX S.R.L.
II;32296;CAPRIMIDA D FORTE;"CARBONATO DE CALCIO; VITAMINA D 3";CÁPSULA;"500MG; 400Ul";LABORATORIOS RECALCINE S.A.;/;/;CHILE;PHARMATECH BOLIVIANA S.A.
II;32304;CAPRIMIDA D;"CARBONATO DE CALCIO; VITAMINA D3";CÁPSULA;"320MG; 125UI";LABORATORIOS RECALCINE S.A;/;/;CHILE;PHARMATECH BOLIVIANA S.A.
II;32396;VITAMINA C;ACIDO ASCORBICO;TABLETA MASTICABLE;500MG;LA SANTE S.A.;/;/;COLOMBIA;LA SANTE S.R.L.
NN;32499;DIPOSAN® 100;DIMETICONA;TABLETA MASTICABLE;100MG;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;32775;METAPLEX;"TIAMINA; RIBOFLAVINA; PIRIDOXINA; NICOTINAMIDA;...";JARABE;5MG+2MG+2MG+3MG+20MG; ENICAR PHARMACEUTICALS PVT.LTD.;INDOCO REMEDIES LIMITED;/;INDIA;SAN FERNANDO S.R.L.
II;32857;VISCID GEL;HIDRÓXIDO DE AL, HIDRÓXIDO DE MG, SIMETICONA;SUSPENSIÓN ORAL;"306MG; 100MG; 25MG";INDOCO REMEDIES LIMITED;/;/;INDIA;SAN FERNANDO S.R.L.
II;33016;AERO OM 100MG/ML;SIMETICONA;SUSPENSION ORAL;100MG/ML;CIFARMA S.A.C.;OM PHARMA S.A.- SUIZA;OM PHARMA S.A.;PERU;QUIMIZA LTDA.
NN;33099;REFRIANEX NOCHE LIMON;PARACET/PSEUEFEDRINA,CLORF.MALEATO/AC. ASCORBICO;GRANULADO;"500MG;60MG;4MG;500MG";LABORATORIOS BAGO DE BOLIVIA S.A.;/;/;BOLIVIA;LABORATORIOS BAGO DE BOLIVIA S.A.
NN;33101;REFRIANEX DIA LIMON;"PARACETAMOL;PSEUDOEFEDRINA HCL; AC. ASCORB(VIT. C)";GRANULADO;"500MG; 60MG; 500MG.";LABORATORIOS BAGÓ DE BOLIVIA S.A.;/;/;BOLIVIA;LABORATORIOS BAGO DE BOLIVIA S.A.
II;33133;AERO OM 40MG;SIMETICONA;COMPRIMIDO MASTICABLE;40MG;CIFARMA S.A.C.;OM PHARMA S.A-SUIZA;OM PHARMA S.A.;PERU;QUIMIZA LTDA.
NN;33146;COBANEURIN ®;"VITAMINA B1; B6; B12";JARABE;"2,5MG;3MG;100MCG/5ML";TERAPEUTICA BOLIVIANA SOCIEDAD ANONIMA (TERBOL S.A.);/;/;BOLIVIA;TERBOL S.A.(LAB.TERAPEUTICA BOLIVIANA SA)
NN;33150;SUERO DE LA VIDA®;VER FORMULA;MICROGRANULADO;VER FORMULA;LABORATORIOS ALFA S.A.;/;/;BOLIVIA;LABORATORIOS ALFA S.A.
NN;33470;VITESPASMO VITA;N-BUTIL BROMURO DE HIOSCINA;COMPRIMIDO;10 mg;LAB. INDUSTRIALES FARMACEUTICOS VITA S.A.;/;/;BOLIVIA;"LABORATORIOS INDUSTRIALES FARMACEU ""VITA"" S.A"
II;33502;VARDAVIT®CÁPSULAS;MULTIVITAMINAS Y  MINERALES(VER REVERSO);CAP.DE GELATINA BLANDA;VARIAS;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
II;33520;VISION VITAMINS PLUS LUTEIN;VITAMINAS, MINERALES Y CAROTENOIDES;TABLETA;VARIAS;MASON VITAMINS INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;33617;DENSIBON D SOYA;CITRATO DE CALCIO+ VITAMINA D + ISOFLAVONA DE SOYA;TABLETA RECUBIERTA;VARIAS;PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;33640;CITRO PLUS;VER FORMULA;JARABE;VER FORMULA;GUAYAKI S.A.;/;/;PARAGUAY;KAIS
NN;33753;PARACETAMOL 1G;PARACETAMOL;COMPRIMIDO RECUBIERTO;1G;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;33770;MULTIVITAMINAS;"VITAMIA A;B1;B2;B6;B12; C; D3";TABLETA RECUBIERTA;VARIAS;DROGUERIA INTI S.A.;/;MARCA: PHARMANDINA;BOLIVIA;DROGUERIA INTI S.A.
II;33938;TRICOVIT TABLETAS;"MINERALES; AMINOACIDOS";TABLETA;VER FORMULA;BIODUE S.P.A;/;/;ITALIA;PROMEDICAL S.A.
II;34295;VISOCAP;SUPLEMENTO DE VITAMINAS Y MINERALES;CAPSULA BLANDA;VER FORMULA;PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;34403;NAZIL OFTENO;CLORHIDRATO DE NAFAZOLINA;SOL. OFTÁLMICA ESTERIL;1MG (0.1%);LABORATORIOS SOPHIA S.A. DE C.V.;/;/;MEXICO;LABORATORIOS OFTALMICOS LABOFTA S.R.L.
II;34529;NATURAL E 400;VITAMINA E;CAPSULA BLANDA;400UI;INTERNACIONAL VITAMIN CORPORATION;/;GNC HOLDINGS LLC-ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;34714;SAW PALMETTO;SERENOA REPENS;CAPSULA;500MG;INTERNATIONAL VITAMIN CORPORATION;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
NN;34746;A-VIMIN ®10,000;VITAMINA A;TABLETA RECUBIERTA;10.000UI;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;35444;LEMOVIT C;ACIDO ASCORBICO 500mg;CAPSULA BLANDA;500MG;PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;35519;AGEX SOY;ISOFLAVONAS  AA VITAMINAS OLIGOELEMENTOS;CAPSULA;VARIAS;BIODUE S.P.A;/;/;ITALIA;PROMEDICAL S.A.
II;37684;TAPSIN INSTAFLU D/N;"PARACETAMOL;PSEUDOEFEDRINAHCL;CLORFENAMINA MALEATO";COMPRIMIDO;VER FÓRMULA;LABORATORIO MAVER  S.A.;/;/;CHILE;CAMSA INDUSTRIA Y COMERCIO S.A.
II;38010;GYNAVARD;CLOTRIMAZOL;CREMA DÉRMICA;1%;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
NN;38202;BRONCOTOS;BROMHEXINA CLORHIDRATO;JARABE;4MG/5ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;38333;BRONCOTOS INFANTIL;BROMHEXINA CLORHIDRATO;JARABE;2MG/5ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;38384;HEPAGON;SILIMARINA;CAPSULA;150MG;LABORATORIOS  DE COSMÉTICA Y FARMOQUÍMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
NN;38445;IODITO;TINTURA DE YODO;TINTURA;"2%; 2.66%";"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
NN;38606;DEXTOTOS;DEXTROMETORFANO BROMHIDRATO;JARABE;10MG/5ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
II;38796;GYNAVARD;CLOTRIMAZOL;CREMA VAGINAL;10MG(1%);VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
II;39002;DERMOCUTYL;PERÓXIDO DE BENZOILO ANHIDRO;JABÓN;2.5 %;AJANTA PHARMA LTD;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;39085;DERMOCUTYL;PERÓXIDO DE BENZOILO ANHIDRO;JABÓN; 5%;AJANTA PHARMA LTD;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;39097;SILVER;VER FORMULA;POLVO ORAL;VER FORMULA;IND. QUIMICA FARMACEUTICA SIGMA CORP S.R.L.;/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
II;39211;EVIXPLUS;VER FORMULA;CÁPSULA BLANDA;VER FORMULA;SOFTGEL HEALTHCARE PVT. LTD;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;39265;BENZO ACTIVE JABON;BENZOATO DE BENCILO;JABÓN;7%;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;39352;"CN DIABETIC SABORES VAINILLA, FRUTILLA Y DULCE DE LECHE
";VARIOS;POLVO PARA SUSPENSION;VARIOS;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COSIN LTDA.
II;39353;CN STANDARD SABORES VAINILLA, FRUTILLA Y DULCE DE LECHE;VER FORMULA CUALICUANTITATIVA;POLVO SOLUBLE;VER FORMULA;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COSIN LTDA.
II;39355;CN PLUS SABORES VAINILLA, FRUTILLA Y DULCE DE LECHE;VER FORMULA CUALICUANTITATIVA;POLVO SOLUBLE;VER FORMULA;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COSIN LTDA.
II;39498;OSTEOVIT JUNIOR;"CALCIO; VITAMINA D3; MAGNESIO; ZINC";SUSPENSIÓN ORAL;VER FORMULA;HERSIL S.A. LABORATORIOS INDUSTRIALES FARMACEUTICOS;/;/;PERU;PROMEDICAL S.A.
II;39667;HUMEDBIO;HIPROMELOSA (HIDROXIPROPIL METILCELULOSA);SOLUCIÓN OFTÁLMICA;3MG/ML;VITALINE S.A.C.;/;/;PERU;PROMEDICAL S.A.
II;39669;FLORIL NUEVA FÓRMULA;NAFAZOLINA CLORHIDRATO;SOLUCIÓN OFTÁLMICA;0.3MG;VITALINE S.A.C.;/;LABORATORIOS LANSIER S.A.C.;PERU;PROMEDICAL S.A.
PNI;39830;PIASCLEDINE® 300;VER FÓRMULA;CÁPSULA;"200MG; 100MG";"LABORATOIRES EXPANSCIENCE
";/;ACONDICIONADO POR: MEGA LABS S.A - URUGUAY;FRANCIA;MEGALABS BOLIVIA S.R.L.
NN;39915;VIDIFRESH;"HIDROXIPROPILMETILCELULOSA; NAFAZOLINA CLORHIDRATO";SOLUCIÓN OFTÁLMICA;3MG - 0,12MG;LABORATORIOS DE COSMÉTICA Y FARMOQUÍMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COS.Y FARMQ.S.A. COFAR S.A.
II;39929;NO - NAUS;DIMENHIDRINATO;COMPRIMIDO;50 MG;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
II;40195;GINSOVIT;GINSENG, VITAMINAS Y MINERALES;CÁPSULA DE GELAT. BLANDA;VARIAS;XL LABORATORIES PVT.LTD.;/;/;INDIA;SAN FERNANDO S.R.L.
NN;40275;ALMOVAL CHANEL;VASELINA SOLIDA;POMADA;98.5%;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;40338;ANTIACIDO;HIDROXIDO DE AL +  HIDROXIDO DE MG + SIMETICONA;SUSPENSIÓN;250 + 250 + 50MG/5ML;CIRON DRUGS & PHARMACEUTICALS PVT.LTD.;/;UNIVERSAL PHARMA;INDIA;UNIVERSAL PHARMA
NN;40430;ALMOVAL ROSA;VASELINA SOLIDA;POMADA;98.5%;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;40503;GOLPEX;DICLOFENACO DIETILAMINA(EQ. A DICLOFENACO SODICO);GEL;1%;APEX DRUG HOUSE;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
PNI;40582;PLAN 30 DIAS  - TÉ GUARANÍ;BOLDO(PEUMUS BOLDUS M.), SEN(CASSIA ANGUSTIFOLIA);POLVO PARA INFUSION;1,62G + 1,38G;LABORATORIO Y HERBORISTERIA SANTA MARGARITA S. A.;/;/;PARAGUAY;DICOM DISTRIBUIDORES DEL ORIENTE SRL
NN;40655;DOLOTERM 400;IBUPROFENO;COMPRIMIDO RECUBIERTO;400MG;LABORATORIOS FARMACEUTICOS LAFAR S.A.;/;/;BOLIVIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
II;40877;PARACETAMOL QUIMFA 500;PARACETAMOL;COMPRIMIDO;500MG;QUIMFA S.A.;/;QUIMFA BOLIVIA S.A.;PARAGUAY;QUIMFA BOLIVIA S.A.
II;40890;ALIVIOL GEL;DICLOFENACO SÓDICO;GEL;1%;LINCOLN PHARMACEUTICALS LTD.;/;FARMEDICAL SRL.;INDIA;FARMEDICAL S.R.L.
II;41258;FIGUVIT 100 MG;ACIDO ASCORBICO;COMPRIMIDO MASTICABLE;100MG;CENTAUR PHARMACEUTICALS PVT. LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;41318;HANSAPLAST PARCHE TERMICO LEON CON ARNICA;EXTRACTO DE ARNICA;PARCHE;109,9MG/(EX DE AR 3%;BSN MEDICAL LIMITADA;/;BEIERSDORF S.A COLOMBIA;COLOMBIA;DROGUERIA INTI S.A.
II;41354;ACYCLO DERMAL;ACICLOVIR;CREMA;5G;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
NN;41438;KETOALCOS® GEL;KETOPROFENO;GEL;2,5G/100G;GRUPO ALCOS S.A. (DIVISIÓN LABORATORIOS ALCOS);/;/;BOLIVIA;GRUPO ALCOS S.A.
NN;41476;MAGNESIA IFARBO SABOR A MENTA;HIDROXIDO DE MAGNESIO;SUSPENSIÓN;800MG/10ML;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
II;41564;CALCIO - MAGNESIO - ZINC PLUS VITAMINA D3;VER FORMULA;COMPRIMIDO;VER FORMULA;ALFA VITAMINS LABORATORIES, INC.;/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;41571;SERGAL;BUTIL BROMURO DE HIOSCINA;COMPRIMIDO RECUB. AZUC.;10MG;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
II;41579;BIOTIN 800 MCG;BIOTINA;TABLETA;800MCG;MASON VITAMINS. INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;41655;VITAMIN C 1000;ACIDO ASCORBICO;TABLETA;1000MG;NUTRA MANUFACTURING LLC.;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;41656;CALCIUM COMPLETE;"CARBONATO DE CALCIO; OXIDO DE MAGNESIO";CÁPSULA BLANDA;300mg/150mg;NUTRA MANUFACTURING LLC;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;41669;VITAMIN  C 500;ACIDO ASCORBICO;TABLETA;500MG;NUTRA MANUFACTURING LLC.;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;41789;DENSIBON D  G TABS;"CITRATO DE CALCIO; VITAMINA D3";TABLETA RECUBIERTA;"315MG;200UI";PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;41808;PARACETAMOL 120MG QUIMFA;PARACETAMOL;SOLUCIÓN GOTAS ORALES;120MG;QUIMFA S.A.;/;QUIMFA BOLIVIA S.A.;PARAGUAY;QUIMFA BOLIVIA S.A.
NN;41844;GRIPOBRON;"EUCALIPTOL; ALCANFOR; MENTOL";UNGUENTO;"5%;5%;7%";IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;41873;POVIDONA YODADA 10%;IODOPOVIDONA;SOLUCIÓN;10%;LABORATORIO GALÉNICO CALIFAR;/;/;BOLIVIA;CALIFAR
II;41940;XICANIL MAX GEL;PERÓXIDO DE BENZOILO;GEL;15G;GRAMON PARAGUAY S.A.C.I.F.I.A;/;/;PARAGUAY;QUIMFA BOLIVIA S.A.
PNI;41948;MILK THISTLE;SILIMARINA;CÁPSULA;200MG;NUTRA MANUFACTURING LLC;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;41960;LAGRIMAS ARTIFICIALES;HIDROXIPROPIL METILCELULOSA;SOLUCIÓN OFTÁLMICA;3MG/ML;ARBOFARMA S.A.S.;/;LA SANTE S.A.;COLOMBIA;LA SANTE S.R.L.
NN;42018;DOLOGRIP®;"PARACETAMOL;PSEDOEFEDRINA HCL; CLORFENAMINA MALEAT";GOTAS;120 + 7,5 + 0,75MG/M;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;42052;ALKA SELTZER;AC. ACETILSALICILICO, AC.CITRICO, BICARBONATO;TABLETA EFERVESCENTE;"0,324G;1G;1,976G";BAYER DE MEXICO, S.A. DE C.V.;/;/;MEXICO;BAYER BOLIVIANA LTDA
II;42122;ZINC 50;GLUCONATO DE ZINC;TABLETA;50MG;NUTRA MANUFACTURING LLC;/;GNC HOLDING LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
NN;42145;IBUXOL;IBUPROFENO;SUSPENSIÓN;100MG/5ML;INDUSTRIAS TORRICO ANTELO S.R.L.;/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;42154;DOLMUS 2.5%;KETOPROFENO;GEL;2.5 %;APEX DRUG HOUSE;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;42196;POMPIGLOS;"RETINOL SINTETICO;COLECALCIFEROL;..........";POMADA;"500000UI; 50000UI; 2";APEX DRUG HOUSE;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;42200;AZIDOL;AZUFRE;POLVO;100%;"INDUSTRIA TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;42238;PARACETAMOL 1000 QUIMFA;PARACETAMOL;COMPRIMIDO;1000 MG;QUIMFA S.A.;/;QUIMFA BOLIVIA S.A;PARAGUAY;QUIMFA BOLIVIA S.A.
II;42302;PARACETAMOL 750 QUIMFA;PARACETAMOL;COMPRIMIDO;750MG;QUIMFA S.A.;/;QUIMFA BOLIVIA S.A.;PARAGUAY;QUIMFA BOLIVIA S.A.
PNI;42389;CIBELES NUTRITION REGULA MAX;FIBRA ALIMENTARIA (DEXTRINAS DE MAIZ);POLVO;4.1G;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COMPAÑIA DE SERVICIOS INTERNACIONALES LIMITAD
NN;42452;MENTISAN® D;"DEXTROMETORFANO; CLORFENIRAMINA MALEATO";JARABE;"100MG;50MG/5ML";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;42562;SUPLIZINC® JARABE 20MG/5ML;ZINC ELEMENTAL;JARABE;20MG/5ML;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;42567;TERFIN CREMA;TERBINAFINA CLORHIDRATO;CREMA;1 %;"LABOARTORIOS CRESPAL S.A.
";/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;42772;ALCALIPTOL;"MENTOL; ALCANFOR; EUCALIPTOL";UNGUENTO;"7G; 3,5G; 2G";LABORATORIO GALENICO CALIFAR;/;/;BOLIVIA;CALIFAR
II;42802;PARACETAMOL 200 QUIMFA;PARACETAMOL;SOLUCIÓN GOTAS ORALES;200MG/ML;QUIMFA S.A.;/;QUIMFA BOLIVIA S.A.-BOLIVIA;PARAGUAY;QUIMFA BOLIVIA S.A.
II;42923;TERBINYL CREMA;TERBINAFINA CLORHIDRATO;CREMA;1%;INDI PHARMA PVT. LTD.;/;/;INDIA;SAN FERNANDO S.R.L.
NN;43008;SUPLIZINC JARABE® 10MG/5ML;ZINC ELEMENTAL 10MG;JARABE;10MG / 5ML;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
II;43087;BIOGAIA;LACTOBACILLUS REUTERI;COMPRIMIDO MASTICABLE;100 MILLONES UFC;FARMASIERRA MANUFACTURING S.L.;BIOGAIA AB;BIOGAIA AB, ACONDICIONADOR: SANICO SV.;ESPAÑA;PHARMATECH BOLIVIANA S.A.
II;43351;MULTIFLORA PLUS;PROBIOTICOS;CAPSULA;1X10(8)UFC;ADM PROTEXIN LIMITED ;/;/;INGLATERRA - REINO UNIDO;MEGALABS BOLIVIA S.R.L.
NN;43388;ZASS;SALICILATO DE METILO/ MENTOL CRISTALIZ / ALCANFOR;UNGUENTO DERMICO;18G% /4G% /3G%;LABORATORIO. HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
II;43432;MILK THISTLE (SILYMARIN);SILIMARINA;CÁPSULA;150MG;MASON VITAMINS, INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;43528;O ES 3;EXTRACTO SECO DE TILIA-PASIFLORA, VALERIANA;COMPRIMIDO RECUBIERTO;"75MG;75MG;50 MG";GRAMON PARAGUAY S.A.C.I.F.I.A;/;/;PARAGUAY;QUIMFA BOLIVIA S.A.
II;43636;DOLORUB;IBUPROFENO;GEL;5%;LABORATORIO MAVER S.A.;/;/;CHILE;CAMSA INDUSTRIA Y COMERCIO S.A.
II;43637;MULTIFLORA;LACTOBACILLUS;COMPRIMIDO MASTICABLE;1X10^8 UFC;ADM PROTEXIN LIMITED;/;/;INGLATERRA - REINO UNIDO;MEGALABS BOLIVIA S.R.L.
II;43638;MULTIFLORA;VER FORMULA;POLVO PARA SUSPENSION;VER FORMULA;ADM PROTEXIN LIMITED ;/;/;INGLATERRA - REINO UNIDO;MEGALABS BOLIVIA S.R.L.
II;43775;BIOTIN 2500;BIOTINA;CAPSULA;2500MCG;NUTRA MANUFACTURING LLC.;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;44025;DR SELBY CREMA CURATIVA;"VIT D; ACIDO BORICO; OXIDO DE ZINC";CREMA;"60000UI; 1.4G; 6.5G";TERRY S.A.;/;/;URUGUAY;COLHER GROUP S.R.L.
II;44090;DOLPIRET® FORTE;IBUPROFENO- PARACETAMOL;COMPRIMIDO RECUBIERTO;400MG/500MG;TERBOL LABORATORIES PVT. LTD.;/;TERAPEUTICA BOLIVIANA SOCIEDAD ANONIMA (TERBOL S.A.);INDIA;"TERAPEUTICA BOLIVIANA ""TERBOL S.A."""
II;44151;BETA CAROTENE 6;BETACAROTENO;CAPSULA BLANDA;10000UI;NUTRA MANUFACTURING LLC.;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;44197;DICLOFENACO 1%;DICLOFENACO SÓDICO;GEL;1%;LABORATORIOS PORTUGAL S.R.L.;/;/;PERU;LAB PORTUGALBO S.R.L.
NN;44207;DICLOFENACO 1%;DICLOFENACO SODICO;GEL;1G;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;44394;ACTIFEM;PARACETAMOL -CAFEINA- IBUPROFENO;CAPSULA BLANDA;"325MG;30MG;200MG";SOFTGEL HEALTHCARE PVT LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;44533;CLOTRIMAZOL 100MG;CLOTRIMAZOL;ÓVULO VAGINAL;100MG;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;44549;DERMOCUTYL 5%;PERÓXIDO DE BENZOILO;GEL;5%;CENTAUR PHARMACEUTICALS PVT. LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;44592;NISTATINA 100.000UI;NISTATINA;OVULO VAGINAL;100.000UI;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;44624;IBUPROFENO 200MG;IBUPROFENO;SUSPENSIÓN;200MG/5ML;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;44662;ELIDOL MR;BENZOCAINA - MENTOL;PASTILLA;6MG/10MG;APEX DRUG HOUSE;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;44916;DICLOFENACO GEL;DICLOFENACO DIETILAMINA;GEL;1,16G;LABORATORIOS PRATER S.A.;/;FARMACORP S.A.;CHILE;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
